,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
35,DVD Lifestyle Intervention,OBESITY,"February 08, 2021",500,NCT03260140,BEHAVIORAL LIFESTYLE INTERVENTION,UNITED STATES,"Active, not recruiting",VA Office of Research and Development,"February 15, 2018",Interventional,DVD Lifestyle Intervention (D-ELITE)
36,Target Engagement of a Novel Dissonance-Based Treatment for DSM-5 Eating Disorders,EATING DISORDER,"February 08, 2021",180,NCT03261050,COUNTER ATTITUDINAL THERAPY; INTERPERSONAL THERAPY,UNITED STATES,Recruiting,Oregon Research Institute,"July 10, 2017",Observational,Target Engagement of a Novel Dissonance-Based Treatment for DSM-5 Eating Disorders
37,Enhancing & Mobilizing the POtential for Wellness & Emotional Resilience Among Surrogate Decision-Makers of ICU Patients,CRITICAL ILLNESS; COMMUNICATION DISABILITIES,"February 08, 2021",155,NCT03276559,EMPOWER; ENHANCED USUAL CARE,UNITED STATES,Recruiting,Weill Medical College of Cornell University,"July 12, 2017",Interventional,Enhancing & Mobilizing the POtential for Wellness & Emotional Resilience Among Surrogate Decision-Makers of ICU Patients
38,Metacognitive Therapy and Work Interventions for Patients on Sick Leave Due to Common Mental Disorders,ANXIETY; DEPRESSION,"February 08, 2021",240,NCT03301922,METACOGNITIVE THERAPY AND WORK-FOCUSED INTERVENTIONS; WAITING LIST,NORWAY,Recruiting,Norwegian University of Science and Technology,"October 31, 2017",Interventional,Metacognitive Therapy and Work Interventions for Patients on Sick Leave Due to Common Mental Disorders: A Randomized Waiting List Controlled Trial
39,Proof-of-Concept Clinical Pharmacology Trial for COVID-19 Antigen Presentation Therapeutic Biologics,COVID,"February 08, 2021",20,NCT03305341,COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,UNITED STATES,"Active, not recruiting","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair","July 18, 2020",Interventional,"Conducting an Initial Small, Controlled Clinical Pharmacology Trial to Assess for Therapeutic Biologics Activity (Proof-of-Concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients."
40,Major De-escalation to 30 Gy for Select Human Papillomavirus Associated Oropharyngeal Carcinoma,HPV-ASSOCIATED OROPHARYNGEAL SQUAMOUS CELL CARCINOMA; SQUAMOUS CELL CARCINOMA OF THE NECK,"February 08, 2021",300,NCT03323463,F-FMISO PET/CT SCAN; 30 GY OVER 3 WEEKS; CISPLATIN; CARBOPLATIN; 5FLUOROURACIL; PROTON THERAPY,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"October 16, 2017",Interventional,A Prospective Single Arm Non-inferiority Trial of Major Radiation Dose De-Escalation Concurrent With Chemotherapy for Human Papilloma Virus Associated Oropharyngeal Carcinoma (Major De-escalation to 30Gy for Select Human Papillomavirus Associated Oropharyngeal Carcinoma)
41,An 18-Month Psychotherapy of Borderline Personality Disorder,BORDERLINE PERSONALITY DISORDER,"February 08, 2021",45,NCT03329677,TRANSFERENCE-FOCUSED PSYCHOTHERAPY (TFP),UNITED STATES,Recruiting,Weill Medical College of Cornell University,"January 1, 2016",Interventional,An 18-Month Psychotherapy of Borderline Personality Disorder
42,Inhaled Gaseous Nitric Oxide (gNO) Antimicrobial Treatment of Difficult Bacterial and Viral Lung (COVID-19) Infections,RESPIRATORY TRACT INFECTIONS; CORONAVIRUS INFECTION,"February 08, 2021",20,NCT03331445,NITRIC OXIDE 0.5 % / NITROGEN 99.5 % GAS FOR INHALATION,CANADA,Recruiting,Chris Miller,"October 24, 2017",Interventional,"An Open Label Safety Study of Inhaled Gaseous Nitric Oxide (gNO) for Adults & Adolescents With Non-Tuberculous Mycobacteria, Burkholderia Spp, Aspergillus Spp and Corona-like Viral (Sub-Study) Infections"
43,The Helping Older People Engage Project: Improving Social Well-Being in Later Life,LONELINESS; QUALITY OF LIFE,"February 08, 2021",300,NCT03343483,VOLUNTEERING; LIFE REVIEW,UNITED STATES,Recruiting,University of Rochester,"December 1, 2017",Interventional,The Getting Active Project (GAP): A Randomized Trial of Volunteering to Reduce Loneliness in Later Life
44,Discovery Stage (Proof-of-concept) COVID-19 Antigen Presentation Therapeutic Biologics (COVID-19--AP),COVID,"February 08, 2021",20,NCT03348670,COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,UNITED STATES,"Active, not recruiting","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair","July 20, 2020",Interventional,"Conducting an Initial Small, Controlled Clinical Trial to Assess for COVID-19 Therapeutic Biologics Activity (Proof-of-concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients."
45,Efficacy of Family Programs for Improving Child and Family Health and Development,"BEHAVIOR, INFANT","February 08, 2021",1200,NCT03367845,CONTROL; SENSITIVITY INTERVENTION; COUPLES' INTERVENTION; SENSITIVITY AND COUPLES' INTERVENTION,UNITED STATES,Recruiting,University of Notre Dame,"January 11, 2017",Interventional,Efficacy of Family Programs for Improving Child and Family Health and Development
46,Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS,"RESPIRATORY DISTRESS SYNDROME, ADULT; SARS-CoV2","February 08, 2021",20,NCT03376854,HYPOTHERMIA; NEUROMUSCULAR BLOCKING AGENTS; STANDARD OF CARE,UNITED STATES,Recruiting,"University of Maryland, Baltimore","May 1, 2018",Interventional,Pilot Randomized Clinical Trial of Therapeutic Hypothermia Plus Neuromuscular Blockade vs. Standard of Care in COVID-19 Patients With Moderate to Severe ARDS - the Cooling to Help Injured Lungs (CHILL) Pilot Study
47,Scaling Up Science-based Mental Health Interventions in Latin America,DEPRESSION; PROBLEMATIC ALCOHOL USE,"February 08, 2021",3091,NCT03392883,LADDR,COLOMBIA,"Active, not recruiting",Dartmouth-Hitchcock Medical Center,"February 13, 2018",Interventional,Scaling Up Science-based Mental Health Interventions in Latin America
48,Assessing the Drug Exposure Risk of Infants Breastfed by Women With Inflammatory Bowel Disease,CROHN'S DISEASE; ULCERATIVE COLITIS; HEALTHY CONTROLS,"February 08, 2021",160,NCT03397108,,CANADA,Recruiting,The Hospital for Sick Children,"July 4, 2017",Observational,Assessing the Drug Exposure Risk of Infants Breastfed by Women With Inflammatory Bowel Disease
49,A Study to Assess the Efficacy and Safety of Risankizumab in Participants With Ulcerative Colitis,ULCERATIVE COLITIS (UC),"February 08, 2021",760,NCT03398135,RISANKIZUMAB; PLACEBO FOR RISANKIZUMAB,ARGENTINA,Enrolling by invitation,AbbVie,"August 28, 2018",Interventional,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis"
50,Induction Study #1 of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease,CROHN DISEASE,"February 08, 2021",600,NCT03440372,OZANIMOD; PLACEBO,ARGENTINA,Recruiting,Celgene,"February 27, 2018",Interventional,"Induction Study #1 - A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease"
51,Induction Study #2 of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease,CROHN DISEASE,"February 08, 2021",600,NCT03440385,OZANIMOD; PLACEBO,AUSTRALIA,Recruiting,Celgene,"March 7, 2018",Interventional,"Induction Study #2 - A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease"
52,SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry,"CANCER, METASTATIC; CANCER; CANCER OF PANCREAS; CANCER OF LIVER; CANCER OF STOMACH; CANCER LIVER; CANCER OF RECTUM; CANCER OF KIDNEY; CANCER OF ESOPHAGUS; CANCER OF CERVIX; CANCER OF COLON; CANCER OF LARYNX; CANCER, LUNG; CANCER, BREAST; CANCER, ADVANCED; CANCER PROSTATE; CANCER OF NECK; CANCER OF SKIN; NEUROENDOCRINE TUMORS; CARCINOMA; MISMATCH REPAIR DEFICIENCY; BRCA GENE REARRANGEMENT; NON HODGKIN LYMPHOMA; LEUKEMIA; NON SMALL CELL LUNG CANCER; CHOLANGIOCARCINOMA; GLIOBLASTOMA; CENTRAL NERVOUS SYSTEM TUMOR; MELANOMA; UROTHELIAL CARCINOMA; BLADDER CANCER; OVARIAN CANCER; ENDOMETRIAL CANCER; TESTICULAR CANCER; BREAST CANCER; COVID","February 08, 2021",1500,NCT03452774,CLINICAL TRIAL MATCHING,UNITED STATES,Recruiting,"Massive Bio, Inc.","January 1, 2018",Observational [Patient Registry],SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry
53,A Placebo-Controlled Study of Oral Ozanimod as Maintenance Therapy for Moderately to Severely Active Crohn's Disease,CROHN DISEASE,"February 08, 2021",485,NCT03464097,OZANIMOD; PLACEBO,ARGENTINA,Recruiting,Celgene,"June 27, 2018",Interventional,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Maintenance Therapy for Moderately to Severely Active Crohn's Disease"
54,Airway Intervention Registry (AIR): Recurrent Respiratory Papillomatosis (RRP),RECURRENT RESPIRATORY PAPILLOMATOSIS; HUMAN PAPILLOMA VIRUS,"February 08, 2021",400,NCT03465280,MICRODEBRIDER; COLD-STEEL SURGERY (FORCEPS); CARBON DIOXIDE LASER; POTASSIUM TITANYL PHOSPHATE (KTP) LASER; PULSED DYE LASER; RADIOFREQUENCY ABLATION; MONOPOLAR SUCTION DIATHERMY; PLASMA COAGULATION; OTHER; ADJUVANT THERAPIES,UNITED KINGDOM,Recruiting,Newcastle-upon-Tyne Hospitals NHS Trust,"April 1, 2018",Observational [Patient Registry],Airway Intervention Registry (AIR) Extension: Recurrent Respiratory Papillomatosis
55,Study of Dose Confirmation and Safety of Crizanlizumab in Pediatric Sickle Cell Disease Patients,SICKLE CELL DISEASE (SCD),"February 08, 2021",100,NCT03474965,CRIZANLIZUMAB,BELGIUM,Recruiting,Novartis Pharmaceuticals,"October 1, 2018",Interventional,"A Phase 2,Multicenter,Open-Label Study to Assess Appropriate Dosing and to Evaluate Safety of Crizanlizumab,With or Without Hydroxyurea/Hydroxycarbamide,in Sequential,Descending Age Groups of Pediatric Sickle Cell Disease Patients With Vaso-Occlusive Crisis"
56,Traditional Versus Early Aggressive Therapy for Multiple Sclerosis Trial,"MULTIPLE SCLEROSIS, RELAPSING-REMITTING","February 08, 2021",900,NCT03500328,EARLY AGGRESSIVE THERAPY OR TRADITIONAL THERAPY,UNITED STATES,Recruiting,Johns Hopkins University,"May 2, 2018",Interventional,"A Pragmatic Trial to Evaluate the Intermediate-term Effects of Early, Aggressive Versus Escalation Therapy in People With Multiple Sclerosis"
