,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
27,"DIABETES MELLITUS, TYPE 2","February 08, 2021",22242,NCT03136471,,UNITED STATES,"Active, not recruiting",Tulane University,January 2017,Observational,Natural Experiments of the Impact of Population-Targeted Health Policies to Prevent Diabetes and Its Complications,Unrelated
28,INFANT MENTAL HEALTH,"February 08, 2021",148,NCT03175796,INFANT MENTAL HEALTH-HOME VISITING,UNITED STATES,Completed,University of Michigan,"October 12, 2017",Interventional,Infant Mental Health-Home Visiting Randomized Controlled Trial,Unrelated
29,IDIOPATHIC PULMONARY FIBROSIS,"February 08, 2021",30,NCT03183570,[18F]FP-R01-MG-F2,UNITED STATES,Recruiting,Stanford University,"November 8, 2017",Interventional,"Detection of Integrin avb6 in Idiopathic Pulmonary Fibrosis, Primary Sclerosing Cholangitis, and Coronavirus Disease 2019 With [18F]FP-R01-MG-F2 With PET/CT",Unrelated
30,TYPE2 DIABETES,"February 08, 2021",300,NCT03184662,HIPA,BELGIUM,Recruiting,Poitiers University Hospital,"February 12, 2018",Interventional,Randomized Trial to Assess the Efficacy of a High-intensity Physical Activity Program on Renal Function Decline in High Risk Patients With Type 2 Diabetes,Unrelated
31,CRITICAL ILLNESS,"February 08, 2021",2400,NCT03188796,CHOLECALCIFEROL,AUSTRIA,Recruiting,Medical University of Graz,"October 10, 2017",Interventional,"The VITDALIZE Study: Effect of High-dose Vitamin D3 on 28-day Mortality in Adult Critically Ill Patients With Severe Vitamin D Deficiency: a Multicenter, Placebo-controlled Double-blind Phase III Randomized Controlled Trial (RCT)",Unrelated
32,RELAPSING-REMITTING MULTIPLE SCLEROSIS,"February 08, 2021",3526,NCT03193866,RITUXIMAB,SWEDEN,"Active, not recruiting",Karolinska Institutet,"February 1, 2017",Observational [Patient Registry],"COMparison Between All immunoTherapies for Multiple Sclerosis. An Observational Long-term Prospective Cohort Study of Safety, Efficacy and Patient's Satisfaction of MS Disease Modulatory Treatments in Relapsing-remitting Multiple Sclerosis",Unrelated
33,PARENTS,"February 08, 2021",800,NCT03209713,HPV VACCINE EDUCATION,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"June 28, 2017",Interventional,Edtech-HPV: A Community Approach Using Education and Technology to Increase HPV Vaccination,Unrelated
34,RENAL CELL CARCINOMA,"February 08, 2021",360,NCT03226886,,UNITED KINGDOM,Recruiting,Royal Marsden NHS Foundation Trust,"February 5, 2012",Observational,TRACERx Renal (TRAcking Renal Cell Carcinoma Evolution Through Therapy (Rx)) CAPTURE: COVID-19 Antiviral Response in a Pan-tumour Immune Study,Unrelated
35,OBESITY,"February 08, 2021",500,NCT03260140,BEHAVIORAL LIFESTYLE INTERVENTION,UNITED STATES,"Active, not recruiting",VA Office of Research and Development,"February 15, 2018",Interventional,DVD Lifestyle Intervention (D-ELITE),Unrelated
36,EATING DISORDER,"February 08, 2021",180,NCT03261050,COUNTER ATTITUDINAL THERAPY,UNITED STATES,Recruiting,Oregon Research Institute,"July 10, 2017",Observational,Target Engagement of a Novel Dissonance-Based Treatment for DSM-5 Eating Disorders,Unrelated
37,CRITICAL ILLNESS,"February 08, 2021",155,NCT03276559,EMPOWER,UNITED STATES,Recruiting,Weill Medical College of Cornell University,"July 12, 2017",Interventional,Enhancing & Mobilizing the POtential for Wellness & Emotional Resilience Among Surrogate Decision-Makers of ICU Patients,Unrelated
38,ANXIETY,"February 08, 2021",240,NCT03301922,METACOGNITIVE THERAPY AND WORK-FOCUSED INTERVENTIONS,NORWAY,Recruiting,Norwegian University of Science and Technology,"October 31, 2017",Interventional,Metacognitive Therapy and Work Interventions for Patients on Sick Leave Due to Common Mental Disorders: A Randomized Waiting List Controlled Trial,Unrelated
39,COVID,"February 08, 2021",20,NCT03305341,COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,UNITED STATES,"Active, not recruiting","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair","July 18, 2020",Interventional,"Conducting an Initial Small, Controlled Clinical Pharmacology Trial to Assess for Therapeutic Biologics Activity (Proof-of-Concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients.",COVID
40,HPV-ASSOCIATED OROPHARYNGEAL SQUAMOUS CELL CARCINOMA,"February 08, 2021",300,NCT03323463,F-FMISO PET/CT SCAN,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"October 16, 2017",Interventional,A Prospective Single Arm Non-inferiority Trial of Major Radiation Dose De-Escalation Concurrent With Chemotherapy for Human Papilloma Virus Associated Oropharyngeal Carcinoma (Major De-escalation to 30Gy for Select Human Papillomavirus Associated Oropharyngeal Carcinoma),Unrelated
41,BORDERLINE PERSONALITY DISORDER,"February 08, 2021",45,NCT03329677,TRANSFERENCE-FOCUSED PSYCHOTHERAPY (TFP),UNITED STATES,Recruiting,Weill Medical College of Cornell University,"January 1, 2016",Interventional,An 18-Month Psychotherapy of Borderline Personality Disorder,Unrelated
42,RESPIRATORY TRACT INFECTIONS,"February 08, 2021",20,NCT03331445,NITRIC OXIDE 0.5 % / NITROGEN 99.5 % GAS FOR INHALATION,CANADA,Recruiting,Chris Miller,"October 24, 2017",Interventional,"An Open Label Safety Study of Inhaled Gaseous Nitric Oxide (gNO) for Adults & Adolescents With Non-Tuberculous Mycobacteria, Burkholderia Spp, Aspergillus Spp and Corona-like Viral (Sub-Study) Infections",Respiratory
43,LONELINESS,"February 08, 2021",300,NCT03343483,VOLUNTEERING,UNITED STATES,Recruiting,University of Rochester,"December 1, 2017",Interventional,The Getting Active Project (GAP): A Randomized Trial of Volunteering to Reduce Loneliness in Later Life,Unrelated
44,COVID,"February 08, 2021",20,NCT03348670,COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,UNITED STATES,"Active, not recruiting","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair","July 20, 2020",Interventional,"Conducting an Initial Small, Controlled Clinical Trial to Assess for COVID-19 Therapeutic Biologics Activity (Proof-of-concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients.",COVID
45,"BEHAVIOR, INFANT","February 08, 2021",1200,NCT03367845,CONTROL,UNITED STATES,Recruiting,University of Notre Dame,"January 11, 2017",Interventional,Efficacy of Family Programs for Improving Child and Family Health and Development,Unrelated
46,"RESPIRATORY DISTRESS SYNDROME, ADULT","February 08, 2021",20,NCT03376854,HYPOTHERMIA,UNITED STATES,Recruiting,"University of Maryland, Baltimore","May 1, 2018",Interventional,Pilot Randomized Clinical Trial of Therapeutic Hypothermia Plus Neuromuscular Blockade vs. Standard of Care in COVID-19 Patients With Moderate to Severe ARDS - the Cooling to Help Injured Lungs (CHILL) Pilot Study,Respiratory
47,DEPRESSION,"February 08, 2021",3091,NCT03392883,LADDR,COLOMBIA,"Active, not recruiting",Dartmouth-Hitchcock Medical Center,"February 13, 2018",Interventional,Scaling Up Science-based Mental Health Interventions in Latin America,Unrelated
48,CROHN'S DISEASE,"February 08, 2021",160,NCT03397108,,CANADA,Recruiting,The Hospital for Sick Children,"July 4, 2017",Observational,Assessing the Drug Exposure Risk of Infants Breastfed by Women With Inflammatory Bowel Disease,Unrelated
49,ULCERATIVE COLITIS (UC),"February 08, 2021",760,NCT03398135,RISANKIZUMAB,ARGENTINA,Enrolling by invitation,AbbVie,"August 28, 2018",Interventional,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis",Unrelated
50,CROHN DISEASE,"February 08, 2021",600,NCT03440372,OZANIMOD,ARGENTINA,Recruiting,Celgene,"February 27, 2018",Interventional,"Induction Study #1 - A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease",Unrelated
51,CROHN DISEASE,"February 08, 2021",600,NCT03440385,OZANIMOD,AUSTRALIA,Recruiting,Celgene,"March 7, 2018",Interventional,"Induction Study #2 - A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn's Disease",Unrelated
52,"CANCER, METASTATIC","February 08, 2021",1500,NCT03452774,CLINICAL TRIAL MATCHING,UNITED STATES,Recruiting,"Massive Bio, Inc.","January 1, 2018",Observational [Patient Registry],SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry,Unrelated
53,CROHN DISEASE,"February 08, 2021",485,NCT03464097,OZANIMOD,ARGENTINA,Recruiting,Celgene,"June 27, 2018",Interventional,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Maintenance Therapy for Moderately to Severely Active Crohn's Disease",Unrelated
54,RECURRENT RESPIRATORY PAPILLOMATOSIS,"February 08, 2021",400,NCT03465280,MICRODEBRIDER,UNITED KINGDOM,Recruiting,Newcastle-upon-Tyne Hospitals NHS Trust,"April 1, 2018",Observational [Patient Registry],Airway Intervention Registry (AIR) Extension: Recurrent Respiratory Papillomatosis,Respiratory
55,SICKLE CELL DISEASE (SCD),"February 08, 2021",100,NCT03474965,CRIZANLIZUMAB,BELGIUM,Recruiting,Novartis Pharmaceuticals,"October 1, 2018",Interventional,"A Phase 2,Multicenter,Open-Label Study to Assess Appropriate Dosing and to Evaluate Safety of Crizanlizumab,With or Without Hydroxyurea/Hydroxycarbamide,in Sequential,Descending Age Groups of Pediatric Sickle Cell Disease Patients With Vaso-Occlusive Crisis",Unrelated
56,"MULTIPLE SCLEROSIS, RELAPSING-REMITTING","February 08, 2021",900,NCT03500328,EARLY AGGRESSIVE THERAPY OR TRADITIONAL THERAPY,UNITED STATES,Recruiting,Johns Hopkins University,"May 2, 2018",Interventional,"A Pragmatic Trial to Evaluate the Intermediate-term Effects of Early, Aggressive Versus Escalation Therapy in People With Multiple Sclerosis",Unrelated
57,RESPIRATORY INFECTION,"February 08, 2021",406,NCT03540706,CARE WITH C-REACTIVE PROTEIN ASSAY IN MICRO METHOD,FRANCE,Recruiting,Centre Hospitalier Intercommunal Creteil,"May 1, 2018",Interventional,Impact of the Use of C-reactive Protein in a Micro-method on the Prescription of Antibiotics in General Practitioners Consulting in the Office,Respiratory
58,CONGENITAL HEART DISEASE,"February 08, 2021",200,NCT03576534,USE OF PREBYPASS ULTRAFILTRATION (PBUF),UNITED STATES,Recruiting,Boston Children's Hospital,"October 3, 2019",Interventional,"Pre Bypass Ultrafiltration (PBUF) Improves Intraoperative Glucose, Sodium, Potassium and Lactate Levels in Children Requiring Cardiopulmonary Bypass",Unrelated
59,ACUTE PAIN,"February 08, 2021",1180,NCT03581123,SUPPORTED-SELF MANAGEMENT (SSM),UNITED STATES,Recruiting,University of Minnesota,"October 25, 2018",Interventional,Spinal Manipulation and Patient Self-Management for Preventing Acute to Chronic Back,Unrelated
60,TRAUMATIC BRAIN INJURY,"February 08, 2021",57,NCT03594734,GROUP LIFESTYLE BALANCE™,UNITED STATES,"Active, not recruiting",Baylor Research Institute,"January 8, 2019",Interventional,Efficacy of an Evidence-based Weight-loss Intervention Post Traumatic Brain Injury,Unrelated
61,SEPSIS,"February 08, 2021",290,NCT03620409,,GERMANY,Recruiting,Jena University Hospital,"May 9, 2018",Observational,Identification of Cardiovascular and Molecular Prognostic Factors for the Mid- and Long-term Outcome of Sepsis,Unrelated
62,NEOPLASMS,"February 08, 2021",242,NCT03648372,TAK-981,UNITED STATES,Recruiting,"Millennium Pharmaceuticals, Inc.","October 1, 2018",Interventional,"An Open Label, Dose-Escalation, Phase I Study to Evaluate the Safety, Tolerability, Preliminary Efficacy and Pharmacokinetics of TAK-981 in Adult Patients With Advanced or Metastatic Solid Tumors or Relapsed/Refractory Hematologic Malignancies and in a Subset With Coronavirus Disease 2019",Unrelated
63,"DIABETES MELLITUS, TYPE 1","February 08, 2021",69,NCT03651622,"HYPOCALORIC, LOW CARBOHYDRATE DIET",UNITED STATES,"Active, not recruiting","University of North Carolina, Chapel Hill","November 12, 2018",Interventional,Accelerating Solutions to Optimize Glycemic Control and Weight Management In Young Adults With Type 1 Diabetes,Unrelated
64,SEPSIS,"February 08, 2021",800,NCT03680274,VITAMIN C,CANADA,Recruiting,Université de Sherbrooke,"November 8, 2018",Interventional,Lessening Organ Dysfunction With VITamin C (LOVIT),Unrelated
65,"LOW BACK PAIN, RECURRENT","February 08, 2021",250,NCT03680287,WITHIN-SUBJECT TEST OF BLINDED STUDY MEDICATION,UNITED STATES,Recruiting,Johns Hopkins University,"October 7, 2019",Interventional,Effects of Sleep Disruption on Drug Response,Unrelated
66,SUBSTANCE USE DISORDER,"February 08, 2021",24,NCT03681288,MINDFUL SELF-COMPASSION,UNITED STATES,"Active, not recruiting",VA Office of Research and Development,"May 21, 2019",Interventional,Mindful Self Compassion for Combat Deployed Veterans With Moral Injury and Co-occurring PTSD-SUD,Unrelated
67,DEMENTIA,"February 08, 2021",172,NCT03683394,SMARRT INTERVENTION,UNITED STATES,"Active, not recruiting",Kaiser Permanente,"August 30, 2018",Interventional,Multidomain Alzheimers Risk Reduction Study (MARRS) Pilot,Unrelated
68,CENTRAL NERVOUS SYSTEM LYMPHOMA,"February 08, 2021",44,NCT03684980,VORAXAZE,UNITED STATES,Recruiting,Memorial Sloan Kettering Cancer Center,"November 14, 2018",Interventional,LTA Pilot Study of Glucarpidase in Patients With Central Nervous System Lymphoma,Unrelated
69,SYSTEMIC SCLEROSIS,"February 08, 2021",72,NCT03708718,PREDNISOLONE 5 MG,UNITED KINGDOM,Recruiting,Prof. Ariane herrick,"December 21, 2017",Interventional,"A Phase II Randomised Study of Oral Prednisolone in Early Diffuse Cutaneous Systemic Sclerosis (Initially Double-blind, Then Switched to Open-label Because of Covid-19)",Unrelated
70,OVERWEIGHT AND OBESITY,"February 08, 2021",450,NCT03710746,PROJECT HEALTH,UNITED STATES,Recruiting,Oregon Research Institute,"October 8, 2018",Interventional,Enhancing Effectiveness of a Dissonance-Based Obesity Prevention Program,Unrelated
71,MAJOR DEPRESSIVE DISORDER,"February 08, 2021",12506,NCT03716869,UNIVERSAL SCREENING ARM,UNITED STATES,"Active, not recruiting",Milton S. Hershey Medical Center,"July 1, 2018",Interventional,Randomized Controlled Trial of Universal vs. Targeted School Screening for Adolescent Major Depressive Disorder,Unrelated
72,NUTRITIONAL DEFICIENCY,"February 08, 2021",50,NCT03724045,BACK SIDE OF THE MOON,BELGIUM,Recruiting,Universitair Ziekenhuis Brussel,"January 1, 2019",Interventional,Back Side of the Moon Study: What is the Efficiency of Nutritional Therapy (Calories and Nitrogen) in ICU and on the Ward and What is the Metabolic Profile of Patients After ICU? Could Supplemental Nutrition Fill the Gap?,Unrelated
73,EXERCISE,"February 08, 2021",112,NCT03728257,LTGO-HOME BASED EXERCISE,UNITED STATES,Recruiting,University of Pittsburgh,"March 25, 2019",Interventional,Lung Transplant G0 (LTGO): Improving Self-Management of Exercise After Lung Transplantation,Unrelated
74,INFLUENZA,"February 08, 2021",15000,NCT03734237,EGG BASED INFLUENZA VACCINES,UNITED STATES,Recruiting,Henry M. Jackson Foundation for the Advancement of Military Medicine,"November 6, 2018",Interventional,A Pragmatic Assessment of Influenza Vaccine Effectiveness in the DoD,Respiratory
75,POST INTENSIVE CARE SYNDROME,"February 08, 2021",200,NCT03738774,,UNITED STATES,Recruiting,Vanderbilt University Medical Center,"January 2, 2019",Observational,Addressing Post-Intensive Care Syndrome Among Survivors of COVID (APICS-COVID),Unrelated
76,OVERACTIVE BLADDER SYNDROME,"February 08, 2021",140,NCT03758235,INCOBOTULINUMTOXINA 100 UNT INJECTION [XEOMIN],ITALY,"Active, not recruiting",University Of Perugia,"September 1, 2018",Interventional,Incobotulinumtoxin Versus Onabotulinumtoxin in the Treatment of Patients With Overactive Bladder Syndrome,Unrelated
77,GENERALIZED ANXIETY DISORDER,"February 08, 2021",130,NCT03768544,SELF-HELP GUIDED BY A LAY PROVIDER,CANADA,Recruiting,Laval University,"March 11, 2019",Interventional,Generalized Anxiety Disorder in Older Adults : Efficacy of a Self-help Treatment Guided by Trained Lay Providers,Unrelated
78,DECISION MAKING,"February 08, 2021",150,NCT03786315,,UNITED KINGDOM,Recruiting,University of Exeter,"January 4, 2021",Observational,Exploring 'VOLITION' in Context - a Study to Inform the Implementation of a New Intervention,Unrelated
79,TYPE 1 DIABETES MELLITUS,"February 08, 2021",80,NCT03793673,COYOT1 CARE,UNITED STATES,"Active, not recruiting",Children's Hospital Los Angeles,"January 20, 2019",Interventional,CoYoT1 to California - Telemedicine to Engage Young Adults With Diabetes,Unrelated
80,SPINAL CORD INJURIES,"February 08, 2021",108,NCT03797378,EM2M,UNITED STATES,Recruiting,University of Alabama at Birmingham,"August 9, 2019",Interventional,"The M2M LEADERS Project: Lakeshore Examination of Activity, Disability, and Exercise Response Study (LEADERS)",Unrelated
81,"RESPIRATORY DISTRESS SYNDROME, ADULT","February 08, 2021",35,NCT03807804,HLCM051,JAPAN,Recruiting,Healios K.K.,"January 1, 2019",Interventional,"An Open-label, Standard Therapy as a Controlled, Multicenter Phase 2 Study to Evaluate the Efficacy and Safety of HLCM051(MultiStem) in Patients With Acute Respiratory Distress Syndrome (ARDS) Caused by Pneumonitis",Respiratory
82,LOWER RESPIRATORY TRACT INFECTION,"February 08, 2021",250,NCT03808922,DAS181,AUSTRALIA,Recruiting,"Ansun Biopharma, Inc.","May 23, 2019",Interventional,A Phase III Randomized Placebo-Controlled Study to Examine the Efficacy and Safety of DAS181 for the Treatment of Lower Respiratory Tract Parainfluenza Infection in Immunocompromised Subjects,Respiratory
83,UPPER LIMB SPASTICITY,"February 08, 2021",83,NCT03821402,DAXI FOR INJECTION DOSE LOW DOSE,UNITED STATES,Completed,"Revance Therapeutics, Inc.","December 12, 2018",Interventional,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose-Ranging, Multi-Center Trial to Evaluate the Efficacy and Safety of DaxibotulinumtoxinA for Injection for the Treatment of Upper Limb Spasticity in Adults After Stroke or Traumatic Brain Injury",Unrelated
84,OVERWEIGHT,"February 08, 2021",78,NCT03823469,CCTP,ISRAEL,Recruiting,Spaulding Rehabilitation Hospital,"May 20, 2019",Interventional,Evaluating the Impact of a Culinary Coaching Telemedicine Program on Body Weight and Metabolic Outcomes - A Randomized Controlled Trial,Unrelated
85,POSTTRAUMATIC STRESS DISORDER,"February 08, 2021",108,NCT03827057,RECONSOLIDATION OF TRAUMATIC MEMORIES (RTM),UNITED STATES,Recruiting,Uniformed Services University of the Health Sciences,"June 12, 2019",Interventional,RECONsolidation of Traumatic Memories to ResOLve Post Traumatic Stress Disorder (RECONTROLPTSD),Unrelated
86,PEDIATRIC CROHNS DISEASE,"February 08, 2021",300,NCT03827109,GROUP EDUCATIONAL ACTIVITIES,UNITED STATES,Recruiting,Laura Mackner,"June 12, 2019",Interventional,Peer Mentoring to Improve Self-management in Youth With IBD,Unrelated
87,PNEUMONIA,"February 08, 2021",90,NCT03852537,METHYLPREDNISOLONE,UNITED STATES,Recruiting,Mayo Clinic,"December 2, 2019",Interventional,SMART Trial: Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia,Respiratory
88,MATERNAL DEATH,"February 08, 2021",34000,NCT03871491,AZITHROMYCIN,BANGLADESH,Recruiting,NICHD Global Network for Women's and Children's Health,"September 1, 2020",Interventional,Prevention of Maternal and Neonatal Death/Infections With a Single Oral Dose of Azithromycin in Women in Labor (in Low- and Middle-income Countries): a Randomized Controlled Trial,Unrelated
